index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 2025/02/27 05:17:10.838, 0 %, 0 %, 1 MiB
1, 2025/02/27 05:17:10.839, 0 %, 0 %, 1 MiB
0, 2025/02/27 05:17:11.839, 0 %, 0 %, 1 MiB
1, 2025/02/27 05:17:11.840, 0 %, 0 %, 1 MiB
0, 2025/02/27 05:17:12.841, 0 %, 0 %, 4 MiB
1, 2025/02/27 05:17:12.841, 0 %, 0 %, 4 MiB
0, 2025/02/27 05:17:13.842, 0 %, 0 %, 4 MiB
1, 2025/02/27 05:17:13.904, 0 %, 0 %, 4 MiB
0, 2025/02/27 05:17:14.905, 0 %, 0 %, 4 MiB
1, 2025/02/27 05:17:14.905, 0 %, 0 %, 4 MiB
0, 2025/02/27 05:17:15.906, 0 %, 0 %, 4 MiB
1, 2025/02/27 05:17:15.907, 0 %, 0 %, 4 MiB
0, 2025/02/27 05:17:16.907, 0 %, 0 %, 4 MiB
1, 2025/02/27 05:17:16.908, 0 %, 0 %, 4 MiB
0, 2025/02/27 05:17:17.909, 35 %, 1 %, 1411 MiB
1, 2025/02/27 05:17:17.910, 17 %, 0 %, 2027 MiB
0, 2025/02/27 05:17:18.910, 3 %, 0 %, 2261 MiB
1, 2025/02/27 05:17:18.911, 0 %, 0 %, 2711 MiB
0, 2025/02/27 05:17:19.912, 10 %, 4 %, 2485 MiB
1, 2025/02/27 05:17:19.912, 8 %, 3 %, 3025 MiB
0, 2025/02/27 05:17:20.913, 12 %, 5 %, 2485 MiB
1, 2025/02/27 05:17:20.914, 16 %, 7 %, 3025 MiB
0, 2025/02/27 05:17:21.914, 11 %, 5 %, 2585 MiB
1, 2025/02/27 05:17:21.915, 11 %, 5 %, 3145 MiB
0, 2025/02/27 05:17:22.916, 12 %, 5 %, 2585 MiB
1, 2025/02/27 05:17:22.916, 16 %, 7 %, 3145 MiB
0, 2025/02/27 05:17:23.917, 12 %, 5 %, 2585 MiB
1, 2025/02/27 05:17:23.917, 16 %, 8 %, 3145 MiB
0, 2025/02/27 05:17:24.918, 12 %, 5 %, 2657 MiB
1, 2025/02/27 05:17:24.919, 16 %, 8 %, 3241 MiB
0, 2025/02/27 05:17:25.919, 13 %, 6 %, 2951 MiB
1, 2025/02/27 05:17:25.976, 16 %, 8 %, 3619 MiB
0, 2025/02/27 05:17:26.977, 14 %, 7 %, 2951 MiB
1, 2025/02/27 05:17:26.977, 17 %, 8 %, 3619 MiB
0, 2025/02/27 05:17:27.978, 13 %, 6 %, 3287 MiB
1, 2025/02/27 05:17:27.979, 18 %, 9 %, 4051 MiB
0, 2025/02/27 05:17:28.979, 13 %, 6 %, 3665 MiB
1, 2025/02/27 05:17:28.980, 17 %, 9 %, 4537 MiB
0, 2025/02/27 05:17:29.981, 14 %, 7 %, 3665 MiB
1, 2025/02/27 05:17:29.981, 19 %, 9 %, 4537 MiB
0, 2025/02/27 05:17:30.982, 13 %, 7 %, 4085 MiB
1, 2025/02/27 05:17:30.984, 20 %, 10 %, 5077 MiB
0, 2025/02/27 05:17:31.985, 14 %, 7 %, 4701 MiB
1, 2025/02/27 05:17:31.985, 20 %, 10 %, 5341 MiB
0, 2025/02/27 05:17:32.986, 14 %, 7 %, 4723 MiB
1, 2025/02/27 05:17:32.987, 19 %, 10 %, 5891 MiB
0, 2025/02/27 05:17:33.987, 16 %, 8 %, 5419 MiB
1, 2025/02/27 05:17:33.988, 19 %, 10 %, 6779 MiB
0, 2025/02/27 05:17:34.989, 16 %, 8 %, 5419 MiB
1, 2025/02/27 05:17:34.989, 19 %, 10 %, 6779 MiB
0, 2025/02/27 05:17:35.990, 15 %, 8 %, 6173 MiB
1, 2025/02/27 05:17:35.991, 21 %, 12 %, 7741 MiB
0, 2025/02/27 05:17:36.991, 15 %, 9 %, 6985 MiB
1, 2025/02/27 05:17:36.992, 20 %, 12 %, 8777 MiB
0, 2025/02/27 05:17:37.992, 15 %, 9 %, 6985 MiB
1, 2025/02/27 05:17:38.076, 21 %, 13 %, 8777 MiB
0, 2025/02/27 05:17:39.077, 17 %, 10 %, 7855 MiB
1, 2025/02/27 05:17:39.078, 21 %, 13 %, 9887 MiB
0, 2025/02/27 05:17:40.079, 16 %, 10 %, 8783 MiB
1, 2025/02/27 05:17:40.080, 21 %, 13 %, 11071 MiB
0, 2025/02/27 05:17:41.081, 16 %, 10 %, 8783 MiB
1, 2025/02/27 05:17:41.082, 21 %, 14 %, 11071 MiB
0, 2025/02/27 05:17:42.082, 18 %, 11 %, 9769 MiB
1, 2025/02/27 05:17:42.083, 23 %, 14 %, 12329 MiB
0, 2025/02/27 05:17:43.083, 16 %, 10 %, 10813 MiB
1, 2025/02/27 05:17:43.084, 22 %, 14 %, 13661 MiB
0, 2025/02/27 05:17:44.085, 17 %, 11 %, 10813 MiB
1, 2025/02/27 05:17:44.085, 24 %, 16 %, 13661 MiB
0, 2025/02/27 05:17:45.086, 18 %, 12 %, 11915 MiB
1, 2025/02/27 05:17:45.087, 23 %, 15 %, 15067 MiB
0, 2025/02/27 05:17:46.087, 20 %, 13 %, 13075 MiB
1, 2025/02/27 05:17:46.088, 24 %, 16 %, 16507 MiB
0, 2025/02/27 05:17:47.089, 18 %, 12 %, 13075 MiB
1, 2025/02/27 05:17:47.089, 25 %, 17 %, 16547 MiB
0, 2025/02/27 05:17:48.090, 18 %, 12 %, 14293 MiB
1, 2025/02/27 05:17:48.091, 24 %, 16 %, 18101 MiB
0, 2025/02/27 05:17:49.091, 19 %, 13 %, 14293 MiB
1, 2025/02/27 05:17:49.092, 25 %, 17 %, 18101 MiB
0, 2025/02/27 05:17:50.093, 19 %, 13 %, 15569 MiB
1, 2025/02/27 05:17:50.167, 25 %, 18 %, 19729 MiB
0, 2025/02/27 05:17:51.167, 19 %, 13 %, 16903 MiB
1, 2025/02/27 05:17:51.168, 26 %, 18 %, 21431 MiB
0, 2025/02/27 05:17:52.169, 19 %, 14 %, 16903 MiB
1, 2025/02/27 05:17:52.169, 25 %, 18 %, 21431 MiB
0, 2025/02/27 05:17:53.170, 19 %, 14 %, 18295 MiB
1, 2025/02/27 05:17:53.171, 26 %, 19 %, 23207 MiB
0, 2025/02/27 05:17:54.171, 20 %, 14 %, 19695 MiB
1, 2025/02/27 05:17:54.172, 54 %, 11 %, 17667 MiB
0, 2025/02/27 05:17:55.173, 22 %, 16 %, 19745 MiB
1, 2025/02/27 05:17:55.174, 25 %, 19 %, 5335 MiB
0, 2025/02/27 05:17:56.175, 20 %, 14 %, 21253 MiB
1, 2025/02/27 05:17:56.176, 25 %, 19 %, 7259 MiB
0, 2025/02/27 05:17:57.177, 21 %, 15 %, 21253 MiB
1, 2025/02/27 05:17:57.178, 30 %, 22 %, 7259 MiB
0, 2025/02/27 05:17:58.178, 21 %, 15 %, 22819 MiB
1, 2025/02/27 05:17:58.179, 30 %, 22 %, 9257 MiB
0, 2025/02/27 05:17:59.180, 21 %, 16 %, 17319 MiB
1, 2025/02/27 05:17:59.181, 14 %, 10 %, 9257 MiB
0, 2025/02/27 05:18:00.181, 20 %, 16 %, 4085 MiB
1, 2025/02/27 05:18:00.182, 31 %, 23 %, 11329 MiB
0, 2025/02/27 05:18:01.182, 21 %, 16 %, 5767 MiB
1, 2025/02/27 05:18:01.183, 28 %, 21 %, 13475 MiB
0, 2025/02/27 05:18:02.184, 22 %, 17 %, 5767 MiB
1, 2025/02/27 05:18:02.270, 32 %, 24 %, 13475 MiB
0, 2025/02/27 05:18:03.271, 22 %, 17 %, 7507 MiB
1, 2025/02/27 05:18:03.272, 30 %, 23 %, 15695 MiB
0, 2025/02/27 05:18:04.273, 23 %, 17 %, 9305 MiB
1, 2025/02/27 05:18:04.274, 30 %, 23 %, 17989 MiB
0, 2025/02/27 05:18:05.275, 25 %, 19 %, 9305 MiB
1, 2025/02/27 05:18:05.276, 31 %, 24 %, 17989 MiB
0, 2025/02/27 05:18:06.276, 23 %, 18 %, 11161 MiB
1, 2025/02/27 05:18:06.277, 30 %, 24 %, 20357 MiB
0, 2025/02/27 05:18:07.278, 22 %, 17 %, 13075 MiB
1, 2025/02/27 05:18:07.278, 31 %, 24 %, 22799 MiB
0, 2025/02/27 05:18:08.279, 25 %, 19 %, 13075 MiB
1, 2025/02/27 05:18:08.280, 34 %, 26 %, 22799 MiB
0, 2025/02/27 05:18:09.280, 0 %, 0 %, 15047 MiB
