index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
1, 2025/02/26 09:22:24.354, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:25.355, 73 %, 69 %, 15927 MiB
1, 2025/02/26 09:22:25.356, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:26.356, 76 %, 72 %, 15927 MiB
1, 2025/02/26 09:22:26.357, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:27.357, 81 %, 77 %, 15927 MiB
1, 2025/02/26 09:22:27.358, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:28.359, 82 %, 77 %, 15927 MiB
1, 2025/02/26 09:22:28.359, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:29.360, 83 %, 78 %, 15927 MiB
1, 2025/02/26 09:22:29.361, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:30.362, 84 %, 79 %, 15927 MiB
1, 2025/02/26 09:22:30.421, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:31.422, 67 %, 62 %, 15927 MiB
1, 2025/02/26 09:22:31.423, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:32.424, 66 %, 61 %, 15927 MiB
1, 2025/02/26 09:22:32.424, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:33.425, 72 %, 67 %, 15927 MiB
1, 2025/02/26 09:22:33.426, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:34.426, 87 %, 81 %, 15927 MiB
1, 2025/02/26 09:22:34.427, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:35.427, 88 %, 82 %, 15927 MiB
1, 2025/02/26 09:22:35.428, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:36.429, 85 %, 78 %, 15927 MiB
1, 2025/02/26 09:22:36.429, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:37.430, 85 %, 79 %, 15927 MiB
1, 2025/02/26 09:22:37.431, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:38.431, 84 %, 77 %, 15927 MiB
1, 2025/02/26 09:22:38.432, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:39.432, 89 %, 82 %, 15927 MiB
1, 2025/02/26 09:22:39.433, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:40.434, 85 %, 78 %, 15927 MiB
1, 2025/02/26 09:22:40.434, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:41.435, 85 %, 78 %, 15927 MiB
1, 2025/02/26 09:22:41.435, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:42.436, 90 %, 82 %, 15927 MiB
1, 2025/02/26 09:22:42.437, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:43.437, 90 %, 82 %, 15927 MiB
1, 2025/02/26 09:22:43.495, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:44.496, 91 %, 84 %, 15927 MiB
1, 2025/02/26 09:22:44.497, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:45.497, 91 %, 83 %, 16567 MiB
1, 2025/02/26 09:22:45.498, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:46.499, 90 %, 82 %, 16567 MiB
1, 2025/02/26 09:22:46.500, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:47.500, 91 %, 83 %, 16567 MiB
1, 2025/02/26 09:22:47.501, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:48.502, 86 %, 77 %, 17997 MiB
1, 2025/02/26 09:22:48.502, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:49.503, 77 %, 73 %, 17997 MiB
1, 2025/02/26 09:22:49.504, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:50.504, 77 %, 74 %, 17997 MiB
1, 2025/02/26 09:22:50.505, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:51.505, 76 %, 72 %, 17997 MiB
1, 2025/02/26 09:22:51.506, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:52.507, 76 %, 72 %, 17997 MiB
1, 2025/02/26 09:22:52.507, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:53.508, 77 %, 73 %, 17997 MiB
1, 2025/02/26 09:22:53.508, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:54.509, 76 %, 71 %, 17997 MiB
1, 2025/02/26 09:22:54.510, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:55.510, 79 %, 74 %, 17997 MiB
1, 2025/02/26 09:22:55.511, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:56.511, 84 %, 79 %, 17997 MiB
1, 2025/02/26 09:22:56.562, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:57.563, 83 %, 78 %, 17997 MiB
1, 2025/02/26 09:22:57.563, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:58.564, 80 %, 75 %, 17997 MiB
1, 2025/02/26 09:22:58.564, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:22:59.565, 85 %, 80 %, 17997 MiB
1, 2025/02/26 09:22:59.565, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:00.566, 88 %, 82 %, 17997 MiB
1, 2025/02/26 09:23:00.566, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:01.567, 80 %, 75 %, 17997 MiB
1, 2025/02/26 09:23:01.567, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:02.568, 74 %, 68 %, 17997 MiB
1, 2025/02/26 09:23:02.569, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:03.569, 88 %, 82 %, 17997 MiB
1, 2025/02/26 09:23:03.570, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:04.571, 82 %, 76 %, 17997 MiB
1, 2025/02/26 09:23:04.572, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:05.573, 87 %, 80 %, 17997 MiB
1, 2025/02/26 09:23:05.574, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:06.574, 87 %, 80 %, 17997 MiB
1, 2025/02/26 09:23:06.575, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:07.576, 90 %, 82 %, 17997 MiB
1, 2025/02/26 09:23:07.576, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:08.577, 88 %, 81 %, 17997 MiB
